place,destination, price ,image
Davue Hotel Da Nang,"57-59 Đỗ Bí, Mỹ An, Ngũ Hành Sơn",171.958 VND,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20023314-1dd3b52ce5baa32f9a4b15a21224d64b.jpeg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
Muong Thanh Grand,"962 Ngô Quyền, An Hải Tây, Sơn Trà",809.524 VND,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10019241-1600x1200-FIT_AND_TRIM-0bb1a9dbb2930b930cc2fe125d7ffac3.jpeg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
La Beach Hotel,"22 Lê Bình, Phước Mỹ, Sơn Trà, Đà Nẵng",175.694 VND,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20001392-578c6c21348c542af11851d0d53581a7.png?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
Khách sạn G8 Luxury Hotel,"59 Lê Duẩn, Hải Châu 1, Quận Hải Châu",599.647 VND,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20026625-2aeead6a0dac2da0d5084b1e13a7a0d2.jpeg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
Melia Vinpearl Danang Riverfront,"341 Trần Hưng Đạo, Sơn Trà, An Hải Bắc, Sơn Trà",1.909.680 VND,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20012109-61fcefe382fa89c9ab4d43a93af89299.jpeg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
Mikazuki JAPANESE RESORTS & SPA,"Nguyễn Tất Thành,Hòa Hiệp Nam, Liên Chiểu",3.235.057 VND,"https://ik.imagekit.io/tvlk/generic-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/5000000/4800000/4790600/4790557/6846daca_z.jpg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
Zalo Sea Hotel,"36 Mỹ Khê 4, Phước Mỹ, Sơn Trà",160.000 VND,"https://ik.imagekit.io/tvlk/generic-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10032247-8ca3802b83402a2f2e6b0b50c6cbd59c.jpeg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
Sala Danang Beach Hotel,"36 - 38 Lâm Hoành, Phước Mỹ, Sơn Trà",1.333.333 VND,"https://ik.imagekit.io/tvlk/generic-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20022267-758821d0dba4be607338f482e0045934.jpg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
Seashore,"15-16 Hoàng Sa, Mân Thái, Sơn Trà",599.647 VND,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20011770-21940cddf0da83a132ce0bd9ae0a21e1.jpeg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
Gold Plaza Hotel Da Nang,"11 Trần Thị Lý, Quận Hải Châu, Đà Nẵng",450.722 VND,"https://ik.imagekit.io/tvlk/generic-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67782898-377eabe29b557fc167a244b63eedb92f.jpeg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
Khách sạn Canvas Danang Beach,"234 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà",1.375.000 VND,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20041711-9999eaa40c613f3d626fdfb31a621011.jpeg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
Hadana Boutique Hotel Da Nang,"Lô H1 - 04, H1- 05, H1- 06 Phạm Văn Đồng, An Hải Bắc, Sơn Trà",526.543 VND,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10020492-128955a9496e6793ceb417d809790b6a.jpeg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
Le House Boutique Hotel,"85-87 Hà Bổng, Phước Mỹ, Sơn Trà",330.159 VND,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10019219-10bc3eda612d2b96b455c56dc54acff6.jpeg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
Menora Grand Da Nang,"69-71-73 Đỗ Bí, Bắc Mỹ Phú, Sơn Trà",296.296 VND,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20057020-610457f4a61e2fb44ced4590e9381420.jpeg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
The Herriott Hotel & Suite,"Lô 7 & 8 Lê Văn Quý, An Hải Bắc, Sơn Trà",456.790 VND,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/67728139-2048x1366-FIT_AND_TRIM-0e41753214cd1efd8dc4dfee3af2f65b.jpeg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
Gold Hotel Da Nang by Haviland,"24 Núi Thành, Hòa Thuận Đông, Quận Hải Châu",384.921 VND,"https://ik.imagekit.io/tvlk/generic-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10020351-77175f48c265178cd5580f3a92dc6d72.jpeg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
Kua Casa Suite,"Số 28 Đỗ Thế Chấp (Lô 13-B2.5), Phước Mỹ, Sơn Trà",638.889 VND,"https://ik.imagekit.io/tvlk/generic-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20057711-92439daf56f9c4c152ff1f77a9454d62.jpeg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
A La Carte Da Nang Beach,"200 Võ Nguyên Giáp, Phường Phước Mỹ, Phước Mỹ, Sơn Trà",3.420.106 VND,"https://ik.imagekit.io/tvlk/generic-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10021173-1153x768-FIT_AND_TRIM-b499a02abf64219ef312142245c0e80c.jpeg?_src=imagekit&tr=c-at_max,f-jpg,h-460,pr-true,q-40,w-724"
